Name,Problem,Difficulty,Tags,Notes
134,Gas Station,Medium,Array,"Pigeon hole principle. First determine if there is enough gas, or not (sum(gas) < sum(cost)). Initialize tank and index as 0. Traverse gas for each iteration add up to tank (gas[i[ - cost[i]). If tank is negative, reset tank and update index(+)"
226,Invert Binary Tree,Easy,"Binary Tree, DFS",Depth First search. We need to traverse tree and for every node swap the children.
110,Balanced Binary Tree,Easy,"Binary Tree, DFS","For every node we verify condition. In the recursion call we ask, are you balanced and what is your height? For every node we get the height of left and right and determine if balanced (abs(left-right)) ≤ 1. In case its bigger flag is updated. For every node we obtain the max (deepest node)"
543,Diameter of Binary Tree,Easy,"Binary Tree, DFS",For every node we check height of children. We keep track of maxPath (sum of height (left + right)) → we use list because of the nature of its mutability
104,Maximum Depth of Binary Tree,Easy,"Binary Tree, DFS","For each node, calculate max depth of left and right and get the max.  Return 1 + plus de maximum of the depths of left and right subtrees, as depth of current node."
102,Binary Tree Level Order Traversal,Medium,"BFS, Binary Tree","Implement BFS. Start a queue and an output list. While queue start a sublist for the length of queue add to list current. If left or right add to queue. add sublist to output, repeat."
236,Lowest Common Ancestor (not search tree),Medium,"Binary Tree, DFS","Base case: if root is none or if its equal to p or q. If met we have found one we are looking for. Next, we recursively call method on left and right subtrees of current storing results. If both are not None we have found in other subtrees, else we return the node whichever is not null."
199,Binary tree right side view,Medium,"BFS, Binary Tree","Using BFS, we. traverse the tree. We add BOTH nodes to the queue. However we validate if the node is the last on the current level. If so, add value to result."
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,Binary Tree,Consider how preorder and inorder are built. Establish root as preorder[0] and mid as inorder.index(preorder[0]). then construct left and right nodes recursively. LEFT → preorder[1:mid+1] inorder[:mid] and RIGHT → preorder[mid+1:] inorder[mid+1:]
235,Lowest Common Ancestor of Binary Search Tree,Medium,"Binary Tree, Search Tree","Recursively. # if the value of p and q is less than the root, ancestor will be on the left subtree or # if the value of p and q is more than the root, ancestor will be on the right subtree, else return root (current)"
98,Validate Binary Search Tree,Medium,"Binary Tree, Search Tree","Initialize stack with three values (lowerBound, root (current), upperBound) check that current value.val is between bounds. If left update upper bound to current value, if right update lower bound to current.val"
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,"Binary Tree, Search Tree","Considering its a binary search tree, let utilize the the property of inorder traversal. Its stores values in ascending order. When traversal is completed just return res[k-1] value."
704,Binary Search,Easy,Binary Search,Standard implementation of binary search O(log n)
278,https://leetcode.com/problems/first-bad-version/,Easy,Binary Search,Binary Search modification. Remember its 1-indexed and that validation is < instead of ≤
33,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,Binary Search,Initialize same as binary search. However check portions. If nums[left] ≤ nums[mid] it implies left half is sorted in ascending order. Check if target is within bounds other wise move to right. Else if nums[left] > nums[mid] is in the other half. Check where is should go and repeat
981,https://leetcode.com/problems/time-based-key-value-store/,Medium,Binary Search,Implement binary search modification through hash-map implementation.
125,Valid Palindrome,Easy,"String, Two Pointers","In case we need to develop out own alphanumeric function check we can use ord() and check wether the value falls between ""A"" and ""Z"" // ""a"" and ""z"" // ""0"" and ""9"" according to the alphanumeric code."
36,https://leetcode.com/problems/valid-sudoku/,Medium,Matrix,"Create defaultdict sets for rows[i], columns[j] and boxes[(i//3, j//3)] and traverse the matrix"
54,Spiral Matrix,Medium,Matrix,"Establish boundaries, top, bottom, right and left and traverse accordingly"
46,Permutations,Medium,"BackTrack, Recursion","Base case = len(currentPermutation) == len(nums): For num in nums if num not in permutation, add back track, pop."
,,,,
